id,year,undermatch_rate,access_to_naviance
sid3d4d,2015,0,TRUE
sid3d4d,2017,0,TRUE
sid3d4d,2018,0,TRUE
sid3d4d,2019,0.5,TRUE
sid3d80,2014,0.0217391304347826,FALSE
sid3d80,2015,0.12903225806451613,TRUE
sid3d80,2016,0,TRUE
sid3d80,2017,0.03703703703703703,TRUE
sid3d80,2018,0.02777777777777777,TRUE
sid3d80,2019,0.14705882352941177,TRUE
sid3e9a,2014,0.1875,FALSE
sid3e9a,2015,0.3333333333333333,TRUE
sid3e9a,2016,0.125,TRUE
sid3e9a,2017,0.36,TRUE
sid3e9a,2018,0.16,TRUE
sid3e9a,2019,0.14285714285714285,TRUE
sid4000,2015,0.5,FALSE
sid4000,2016,0.16666666666666666,TRUE
sid4000,2017,0.5,TRUE
sid4000,2018,0.3333333333333333,TRUE
sid4000,2019,0.4,TRUE
sid4a05,2014,0,FALSE
sid4a05,2015,0,FALSE
sid4a05,2016,0,TRUE
sid4a05,2017,0,TRUE
sid4a05,2018,0,TRUE
sid4a05,2019,0.3333333333333333,TRUE
sid4db3,2016,0,TRUE
sid4db3,2017,0,TRUE
sid5114,2014,0,FALSE
sid5362,2016,0.3333333333333333,FALSE
sid5362,2017,0.5,FALSE
sid5362,2018,0,FALSE
sid5362,2019,0.5,TRUE
sid55c1,2014,0.2222222222222222,FALSE
sid55c1,2015,0,FALSE
sid55c1,2016,0,TRUE
sid55c1,2017,0.3125,TRUE
sid55c1,2018,0.09090909090909093,TRUE
sid55c1,2019,0.3888888888888889,TRUE
sid56a4,2014,0.10526315789473684,FALSE
sid56a4,2015,0.07142857142857142,FALSE
sid56a4,2016,0.15,TRUE
sid56a4,2017,0.3,TRUE
sid56a4,2018,0.3404255319148936,TRUE
sid56a4,2019,0.4,TRUE
sid5c24,2014,0,FALSE
sid5c24,2018,1,FALSE
sid5c24,2019,0,TRUE
sid6000,2014,0,FALSE
sid6000,2015,0,FALSE
sid6000,2016,0.06666666666666667,TRUE
sid6000,2017,0.2,TRUE
sid6000,2018,0.15789473684210523,TRUE
sid6000,2019,0.28,TRUE
sid6206,2014,0.04347826086956521,FALSE
sid6206,2015,0.1,FALSE
sid6206,2016,0.05405405405405406,TRUE
sid6206,2017,0.2222222222222222,TRUE
sid6206,2018,0.27906976744186046,TRUE
sid6206,2019,0.18181818181818185,TRUE
